Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,GA,G_PK,GA_PK,year
Mansor Hamzi,sa KSA,"MF,DF",Al-Faisaly,25,1992,21,13,"1,239",2,2,0,0,0,0,0.15,0.15,0.29,0.15,0.29,2017
Mansoor Al-Harbi,sa KSA,DF,Al-Ahli,29,1987,22,21,"1,907",1,5,0,0,1,0,0.05,0.24,0.28,0.05,0.28,2017
Ali Al Hassan,sa KSA,DF,Al-Fateh,20,1997,4,1,58,1,0,0,0,0,0,1.55,0,1.55,1.55,1.55,2017
Abdulshakour Hawsawi,sa KSA,DF,Al-Batin,,,1,1,90,0,0,0,0,1,0,0,0,0,0,0,2017
Motaz Hawsawi,sa KSA,DF,Al-Ahli,25,1992,22,22,"1,980",3,1,0,0,4,0,0.14,0.05,0.18,0.14,0.18,2017
Omar Hawsawi,sa KSA,DF,Al-Nassr,31,1985,22,22,"1,839",0,0,0,0,1,1,0,0,0,0,0,2017
Osama Hawsawi,sa KSA,DF,Al-Hilal,33,1984,19,19,"1,619",0,2,0,0,2,0,0,0.11,0.11,0,0.11,2017
Hazaa Al-Hazaa,sa KSA,FW,Al-Ettifaq,25,1991,12,12,993,7,3,1,1,0,0,0.63,0.27,0.91,0.54,0.82,2017
Ali Hazazi,sa KSA,MF,Al-Ettifaq,23,1994,7,6,541,1,0,0,0,1,0,0.17,0,0.17,0.17,0.17,2017
Majed Hazazi,sa KSA,DF,Al-Fateh,29,1988,19,14,"1,334",1,1,1,1,3,0,0.07,0.07,0.13,0,0.07,2017
Naif Hazazi,sa KSA,MF,Al-Qadsiah,24,1992,19,14,"1,301",0,0,0,0,1,0,0,0,0,0,0,2017
Naif Hazazi,sa KSA,FW,Al-Taawoun,29,1988,9,4,354,2,0,1,2,3,0,0.51,0,0.51,0.25,0.25,2017
Ronaldo Henrique,br BRA,MF,Ohod,23,1994,10,7,710,0,1,0,0,3,0,0,0.13,0.13,0,0.13,2017
Waleed Hizam,sa KSA,MF,Al-Shabab,22,1994,5,1,112,0,0,0,0,0,0,0,0,0,0,0,2017
Waleed Hizam,sa KSA,MF,Al-Batin,22,1994,1,0,14,0,0,0,0,0,0,0,0,0,0,0,2017
Maan Al-Hodhifi,sa KSA,FW,Al-Ittihad,19,1998,1,0,12,0,0,0,0,0,0,0,0,0,0,0,2017
Jehad Al-Hussain,sy SYR,MF,Al-Taawoun,35,1982,23,21,"1,811",1,9,0,0,2,0,0.05,0.45,0.5,0.05,0.5,2017
Khaleem Hyland,tt TRI,MF,Al-Faisaly,28,1989,24,23,"2,023",1,1,0,0,6,0,0.04,0.04,0.09,0.04,0.09,2017
Ahmad Ibrahim Khalaf,iq IRQ,DF,Al-Ettifaq,25,1992,23,23,"2,069",0,3,0,0,6,1,0,0.13,0.13,0,0.13,2017
Riyadh Al-Ibrahim,sa KSA,MF,Al-Raed,23,1993,2,1,72,0,0,0,0,0,0,0,0,0,0,0,2017
Emilio Izaguirre,hn HON,DF,Al-Fayha,31,1986,24,22,"1,983",0,0,0,1,3,0,0,0,0,0,0,2017
Hassan Jaafari,sa KSA,MF,Al-Fayha,26,1991,11,9,825,0,0,0,0,3,0,0,0,0,0,0,2017
Abdulwahab Jaafer,sa KSA,MF,Al-Shabab,23,1993,14,4,577,0,1,0,0,2,0,0,0.16,0.16,0,0.16,2017
Mohammed Jahfali,sa KSA,DF,Al-Hilal,26,1990,22,19,"1,745",2,0,0,0,4,0,0.1,0,0.1,0.1,0.1,2017
John Jairo Ruiz,cr CRC,"MF,FW",Al-Fayha,23,1994,15,11,"1,029",2,3,0,0,4,0,0.17,0.26,0.44,0.17,0.44,2017
Abdulaziz Al-Jamaan,sa KSA,"FW,MF",Al-Raed,21,1996,8,3,281,0,1,0,0,0,0,0,0.32,0.32,0,0.32,2017
Saleh Al Jaman,sa KSA,"MF,FW",Al-Ahli,23,1993,9,3,409,1,0,0,0,0,0,0.22,0,0.22,0.22,0.22,2017
Taisir Al-Jassim,sa KSA,MF,Al-Ahli,33,1984,11,8,734,1,2,0,0,2,0,0.12,0.25,0.37,0.12,0.37,2017
William Jebor,lr LBR,FW,Al-Nassr,25,1991,11,4,505,3,0,0,0,0,0,0.53,0,0.53,0.53,0.53,2017
Abdulaziz Al-Jebreen,sa KSA,MF,Al-Nassr,27,1990,12,10,809,1,1,0,0,4,0,0.11,0.11,0.22,0.11,0.22,2017
Hamad Al-Jizani,sa KSA,DF,Al-Qadsiah,24,1993,5,3,321,0,0,0,0,0,0,0,0,0,0,0,2017
Fahad Al-Johani,sa KSA,MF,Al-Fayha,25,1991,6,2,215,1,0,0,0,0,0,0.42,0,0.42,0.42,0.42,2017
Fahad Al-Johani,sa KSA,"FW,MF",Al-Qadsiah,25,1991,10,3,411,0,0,0,0,0,0,0,0,0,0,0,2017
Mazen Al-Johani,sa KSA,FW,Ohod,22,1995,3,0,46,0,0,0,0,1,0,0,0,0,0,0,2017
Jorginho,br BRA,MF,Al-Qadsiah,26,1991,7,6,520,2,0,0,0,0,0,0.35,0,0.35,0.35,0.35,2017
Abdullah Al-Jouei,sa KSA,MF,Al-Batin,22,1995,21,16,"1,316",0,2,0,0,1,0,0,0.14,0.14,0,0.14,2017
Hamad Al-Juhaim,sa KSA,FW,Al-Fateh,29,1987,15,3,399,1,0,0,0,3,0,0.23,0,0.23,0.23,0.23,2017
Wander Luiz Bitencourt Junior,br BRA,MF,Al-Raed,30,1987,14,13,"1,163",1,4,0,0,0,0,0.08,0.31,0.39,0.08,0.39,2017
Khalid Kaabi,sa KSA,"MF,FW",Al-Shabab,25,1992,13,8,726,4,1,0,0,3,0,0.5,0.12,0.62,0.5,0.62,2017
Junior Kabananga,cd COD,FW,Al-Nassr,28,1989,6,6,521,4,0,0,0,0,0,0.69,0,0.69,0.69,0.69,2017
Hassan Kadesh,sa KSA,DF,Al-Hilal,24,1992,3,2,225,0,0,0,0,1,0,0,0,0,0,0,2017
Kahraba,eg EGY,MF,Al-Ittihad,23,1994,24,23,"1,971",4,5,0,1,4,0,0.18,0.23,0.41,0.18,0.41,2017
Alhaji Kamara,sl SLE,FW,Al-Taawoun,23,1994,14,11,896,5,1,0,0,1,0,0.5,0.1,0.6,0.5,0.6,2017
Abdullah Kanno,sa KSA,"DF,MF",Al-Fayha,27,1990,21,18,"1,615",1,0,0,0,7,0,0.06,0,0.06,0.06,0.06,2017
Mohamed Kanno,sa KSA,MF,Al-Hilal,22,1994,15,6,739,0,1,0,0,0,0,0,0.12,0.12,0,0.12,2017
Saud Kariri,sa KSA,MF,Al-Shabab,37,1980,2,1,96,0,0,0,0,0,0,0,0,0,0,0,2017
Ahmed Al-Kassar,sa KSA,GK,Al-Ettifaq,26,1991,10,10,900,0,1,0,0,2,0,0,0.1,0.1,0,0.1,2017
Sami Kassar,sa KSA,DF,Ohod,27,1990,24,20,"1,881",0,0,0,0,4,0,0,0,0,0,0,2017
Ryad Kenniche,dz ALG,DF,Al-Qadsiah,24,1993,3,3,240,0,0,0,0,1,0,0,0,0,0,0,2017
Mohammed Al-Khabrani,sa KSA,DF,Al-Qadsiah,23,1993,20,20,"1,722",0,0,0,0,1,0,0,0,0,0,0,2017
Abdullah Al-Khaibari,sa KSA,MF,Al-Shabab,20,1996,16,15,"1,362",0,0,0,0,3,0,0,0,0,0,0,2017
Ali Al Khaibari,sa KSA,DF,Al-Ettifaq,27,1990,13,12,"1,013",0,0,0,0,2,0,0,0,0,0,0,2017
Majed Al-Khaibari,sa KSA,DF,Al-Ettifaq,25,1991,11,11,990,1,0,0,0,4,0,0.09,0,0.09,0.09,0.09,2017
Sami Al-Khaibari,sa KSA,DF,Al-Fayha,27,1989,20,20,"1,800",0,2,0,0,9,0,0,0.1,0.1,0,0.1,2017
Abdulmalek Al-Khaibri,sa KSA,MF,Al-Hilal,31,1986,9,5,439,0,0,0,0,1,0,0,0,0,0,0,2017
Abdurahman Khairallah,sa KSA,FW,Al-Taawoun,21,1996,3,0,39,0,0,0,0,0,0,0,0,0,0,0,2017
Saad Al Khairi,sa KSA,DF,Al-Ettifaq,22,1995,21,20,"1,802",0,0,0,0,5,0,0,0,0,0,0,2017
Osama Al-Khalaf,sa KSA,"MF,DF",Al-Ettifaq,20,1996,12,7,629,0,1,0,0,6,1,0,0.14,0.14,0,0.14,2017
Mohsin Al-Khaldi,om OMA,MF,Ohod,28,1988,8,7,487,1,0,0,0,1,0,0.18,0,0.18,0.18,0.18,2017
Abdullah Khalifa Segher,sa KSA,MF,Al-Shabab,,,1,1,90,0,0,0,0,0,0,0,0,0,0,0,2017
Awadh Khames,sa KSA,"DF,MF",Al-Nassr,29,1988,14,9,900,0,0,0,0,3,0,0,0,0,0,0,2017
Faisel Al-Kharaa,gh GHA,DF,Al-Taawoun,23,1993,4,4,324,0,0,0,0,2,0,0,0,0,0,0,2017
Omar Kharbin,sy SYR,FW,Al-Hilal,23,1994,16,11,965,7,5,3,5,2,0,0.65,0.47,1.12,0.37,0.84,2017
Maan Khodari,sa KSA,MF,Al-Batin,25,1991,13,10,777,0,1,0,0,5,0,0,0.12,0.12,0,0.12,2017
Nacereddine Khoualed,dz ALG,DF,Ohod,31,1986,8,8,684,0,0,0,0,5,1,0,0,0,0,0,2017
Awadh Khrees,sa KSA,MF,Al-Ittihad,26,1991,5,1,137,1,0,0,0,1,0,0.66,0,0.66,0.66,0.66,2017
Ayman Al-Khulaif,sa KSA,MF,Al-Ahli,20,1997,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
Filip Kiss,sk SVK,MF,Al-Ettifaq,26,1990,23,22,"1,954",3,1,1,1,4,0,0.14,0.05,0.18,0.09,0.14,2017
Ahmed Krenshi,sa KSA,MF,Al-Qadsiah,28,1988,1,0,31,0,0,0,0,0,0,0,0,0,0,0,2017
Amiri Kurdi,sa KSA,"DF,MF",Al-Ahli,25,1991,9,5,463,0,2,0,0,1,0,0,0.39,0.39,0,0.39,2017
Mohammed Al-Kwikbi,sa KSA,MF,Al-Ettifaq,22,1994,24,24,"2,082",5,1,0,0,2,0,0.22,0.04,0.26,0.22,0.26,2017
Saâd Lagrou,ma MAR,DF,Al-Nassr,25,1992,13,12,"1,050",0,1,0,0,3,0,0,0.09,0.09,0,0.09,2017
Leonardo,br BRA,MF,Al-Nassr,30,1986,24,21,"1,831",10,2,3,3,2,0,0.49,0.1,0.59,0.34,0.44,2017
Daniel Lopes Amora,br BRA,MF,Al-Raed,29,1987,19,17,"1,564",3,4,0,0,4,0,0.17,0.23,0.4,0.17,0.4,2017
Raïs M'Bolhi,dz ALG,GK,Al-Ettifaq,31,1986,9,9,810,0,0,0,0,2,0,0,0,0,0,0,2017
Dionatan Machado,br BRA,MF,Al-Batin,24,1992,8,6,477,0,0,0,0,0,0,0,0,0,0,0,2017
Ricardo Machado,pt POR,DF,Al-Taawoun,28,1988,18,16,"1,473",2,1,0,0,2,0,0.12,0.06,0.18,0.12,0.18,2017
Abdullah Madu,sa KSA,DF,Al-Nassr,24,1993,8,5,562,0,0,0,0,1,0,0,0,0,0,0,2017
Ismael Al-Maghrebi,sa KSA,FW,Al-Taawoun,26,1991,11,4,456,1,0,0,0,1,0,0.2,0,0.2,0.2,0.2,2017
Abdulaziz Magrashi,sa KSA,MF,Al-Ettifaq,26,1991,13,13,"1,088",0,1,0,0,2,0,0,0.08,0.08,0,0.08,2017
Abdullah Magrashi,sa KSA,MF,Al-Ahli,19,1997,8,1,166,1,0,0,0,0,0,0.54,0,0.54,0.54,0.54,2017
Ibrahim Mahnashi,sa KSA,MF,Al-Ettifaq,17,1999,6,3,338,0,0,0,0,2,0,0,0,0,0,0,2017
Mohammed Al Majhad,sa KSA,MF,Al-Fateh,19,1998,7,2,167,0,0,0,0,1,0,0,0,0,0,0,2017
Abdulaziz Majrashi,sa KSA,DF,Al-Fateh,26,1991,11,9,800,0,0,0,0,3,0,0,0,0,0,0,2017
Ali Majrashi,sa KSA,"DF,MF",Al-Shabab,17,1999,6,3,289,1,0,0,0,1,0,0.31,0,0.31,0.31,0.31,2017
Mohammed Majrashi,sa KSA,"FW,MF",Al-Faisaly,26,1991,21,13,"1,192",1,3,0,1,4,0,0.08,0.23,0.3,0.08,0.3,2017
Talal Majrashi,sa KSA,MF,Al-Ettifaq,26,1990,1,0,7,0,0,0,0,0,0,0,0,0,0,0,2017
Talal Majrashi,sa KSA,MF,Al-Fayha,26,1990,3,0,70,0,0,0,0,0,0,0,0,0,0,0,2017
Mustafa Malayekah,sa KSA,GK,Al-Faisaly,31,1986,26,26,"2,340",0,0,0,0,1,0,0,0,0,0,0,2017
Sandro Manoel,br BRA,MF,Al-Fateh,29,1988,25,24,"2,195",1,3,0,0,4,0,0.04,0.12,0.16,0.04,0.16,2017
Hamad Al Mansour,sa KSA,DF,Al-Faisaly,24,1993,19,15,"1,412",1,0,0,0,1,0,0.06,0,0.06,0.06,0.06,2017
Faisel Masrahi,sa KSA,GK,Al-Qadsiah,24,1993,23,23,"2,070",0,0,0,0,2,0,0,0,0,0,0,2017
Sultan Masrahi,sa KSA,DF,Al-Batin,30,1987,19,19,"1,632",1,2,0,0,3,0,0.06,0.11,0.17,0.06,0.17,2017
Aymen Mathlouthi,tn TUN,GK,Al-Batin,32,1984,7,7,630,0,0,0,0,0,0,0,0,0,0,0,2017
Abdullah Al-Mayouf,sa KSA,GK,Al-Hilal,30,1987,13,13,"1,170",0,0,0,0,0,0,0,0,0,0,0,2017
Ali Al-Mazidi,sa KSA,GK,Al-Fateh,31,1985,23,23,"2,070",0,0,0,1,3,0,0,0,0,0,0,2017
Sultan Mendash,sa KSA,FW,Al-Faisaly,22,1994,12,1,248,0,0,0,0,0,0,0,0,0,0,0,2017
Mohamed Methnani,tn TUN,MF,Al-Qadsiah,25,1992,10,9,696,0,0,0,0,3,0,0,0,0,0,0,2017
Sahow Metlaq,sa KSA,FW,Al-Batin,29,1988,10,4,360,0,1,0,0,0,0,0,0.25,0.25,0,0.25,2017
Nicolás Milesi,uy URU,MF,Al-Hilal,24,1992,18,18,"1,455",2,1,0,0,5,0,0.12,0.06,0.19,0.12,0.19,2017
Mark Milligan,au AUS,"MF,DF",Al-Ahli,31,1985,8,8,675,0,0,0,0,3,0,0,0,0,0,0,2017
Muaid Moaafa,sa KSA,DF,Al-Shabab,20,1997,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2017
Salman Al-Moasher,sa KSA,MF,Al-Ahli,28,1988,13,6,598,4,0,0,0,0,0,0.6,0,0.6,0.6,0.6,2017
Omar Mohammed Hawsawi,sa KSA,DF,Ohod,24,1993,23,23,"1,952",2,0,0,0,7,0,0.09,0,0.09,0.09,0.09,2017
Tariq Mohammed,sa KSA,"DF,MF",Al-Ittihad,21,1995,21,20,"1,694",0,0,0,0,7,0,0,0,0,0,0,2017
Mohammed Mohsen Harzan,sa KSA,MF,Ohod,28,1989,22,21,"1,818",1,2,0,0,3,0,0.05,0.1,0.15,0.05,0.15,2017
Husain Al-Monassar,sa KSA,MF,Al-Faisaly,22,1994,1,0,6,0,0,0,0,0,0,0,0,0,0,0,2017
Hussain Al Moqahwi,sa KSA,MF,Al-Ahli,29,1988,24,21,"1,817",5,1,0,0,4,0,0.25,0.05,0.3,0.25,0.3,2017
Danilo Moreno Asprilla,co COL,MF,Al-Fayha,28,1989,23,17,"1,651",8,2,0,0,6,0,0.44,0.11,0.55,0.44,0.55,2017
Yasser Al Mosailem,sa KSA,GK,Al-Ahli,33,1984,2,2,180,0,0,0,0,0,0,0,0,0,0,0,2017
Emad Moteab,eg EGY,FW,Al-Taawoun,34,1983,9,4,483,0,0,0,0,0,0,0,0,0,0,0,2017
Naif Al-Mousa,sa KSA,"DF,MF",Al-Taawoun,30,1986,19,12,"1,137",1,1,0,0,4,0,0.08,0.08,0.16,0.08,0.16,2017
Nooh Al-Mousa,sa KSA,MF,Al-Fateh,26,1991,12,12,"1,062",0,2,0,0,3,0,0,0.17,0.17,0,0.17,2017
Ryan Al-Mousa,sa KSA,MF,Al-Taawoun,23,1994,23,23,"1,930",0,2,0,0,7,0,0,0.09,0.09,0,0.09,2017
Saeed Al Mowalad,sa KSA,DF,Al-Ahli,26,1991,22,22,"1,951",0,4,0,0,3,0,0,0.18,0.18,0,0.18,2017
Hassan Muath Fallatah,sa KSA,DF,Al-Shabab,31,1986,5,5,432,0,0,0,0,1,0,0,0,0,0,0,2017
Hassan Muath Fallatah,sa KSA,"MF,DF",Al-Fayha,31,1986,12,10,922,2,0,0,0,1,0,0.2,0,0.2,0.2,0.2,2017
Nasser Al-Muheeni,sa KSA,GK,Al-Batin,28,1988,2,2,180,0,0,0,0,1,0,0,0,0,0,0,2017
Saad Al-Mukhaini,om OMA,DF,Al-Nassr,29,1987,7,6,544,0,2,0,0,1,0,0,0.33,0.33,0,0.33,2017
Mojahed Al-Munee,sa KSA,"MF,FW",Al-Hilal,21,1996,5,2,239,1,1,0,0,1,0,0.38,0.38,0.75,0.38,0.75,2017
Yahya Al Musallam,sa KSA,DF,Al-Raed,31,1986,10,10,845,2,0,0,0,0,0,0.21,0,0.21,0.21,0.21,2017
Abdullah Al-Mutairi,sa KSA,MF,Al-Fayha,31,1986,21,14,"1,174",0,0,0,0,4,0,0,0,0,0,0,2017
Muteb Al-Mutlaq,sa KSA,DF,Al-Nassr,19,1997,2,1,54,0,0,0,0,0,0,0,0,0,0,0,2017
Muteb Al-Mutlaq,sa KSA,"DF,MF",Al-Raed,19,1997,6,6,431,0,1,0,0,1,0,0,0.21,0.21,0,0.21,2017
Fahad Al Muwallad,sa KSA,"MF,FW",Al-Ittihad,22,1994,9,8,664,3,2,2,2,1,0,0.41,0.27,0.68,0.14,0.41,2017
Omar Al-Muziel,sa KSA,DF,Al-Ittihad,25,1992,12,9,861,0,0,0,0,4,0,0,0,0,0,0,2017
Mamoutou N'Diaye,ml MLI,MF,Ohod,27,1990,9,9,810,1,0,0,0,2,0,0.11,0,0.11,0.11,0.11,2017
Sumaihan Al-Nabet,sa KSA,"MF,DF",Ohod,21,1996,7,3,334,0,0,0,0,1,0,0,0,0,0,0,2017
Ahmed Al-Nadhri,sa KSA,MF,Al-Fateh,24,1993,16,3,474,0,2,0,0,0,0,0,0.38,0.38,0,0.38,2017
Guy-Hervé Nady,ci CIV,MF,Al-Qadsiah,25,1991,13,13,"1,100",0,4,0,0,1,0,0,0.33,0.33,0,0.33,2017
Ammar Al-Najar,sa KSA,MF,Al-Ittihad,20,1997,16,11,930,1,0,0,0,2,0,0.1,0,0.1,0.1,0.1,2017
Mansour Al Najar,sa KSA,MF,Al-Qadsiah,,,5,1,91,0,0,0,0,1,0,0,0,0,0,0,2017
Sami Al-Najei,sa KSA,MF,Al-Nassr,20,1997,9,6,483,0,0,0,0,0,0,0,0,0,0,0,2017
Mohammed Naji,sa KSA,MF,Ohod,23,1993,2,0,16,0,0,0,0,0,0,0,0,0,0,0,2017
Majed Al-Najrani,sa KSA,MF,Al-Hilal,24,1993,5,2,201,0,2,0,0,1,0,0,0.9,0.9,0,0.9,2017
Mesfer Al Najrani,sa KSA,MF,Al-Qadsiah,23,1994,1,0,27,0,0,0,0,1,0,0,0,0,0,0,2017
Salem Al-Najrani,sa KSA,DF,Al-Fateh,,,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2017
Bader Al-Nakhli,sa KSA,DF,Al-Ittihad,29,1988,15,14,"1,195",0,0,0,0,1,0,0,0,0,0,0,2017
Bader Badi Al-Nakhli,sa KSA,MF,Ohod,28,1988,11,11,870,0,0,0,0,1,0,0,0,0,0,0,2017
Munther Nakhli,sa KSA,MF,Al-Fateh,,,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2017
Abdulaziz Al Nashi,sa KSA,MF,Al-Ettifaq,29,1987,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
Bander Nasser,sa KSA,DF,Al-Batin,27,1990,25,25,"2,206",0,1,0,0,5,0,0,0.04,0.04,0,0.04,2017
Tendai Ndoro,zw ZIM,FW,Al-Faisaly,29,1988,4,2,123,1,0,0,0,0,0,0.73,0,0.73,0.73,0.73,2017
Abdulmajeed Obaid,sa KSA,MF,Al-Batin,21,1995,7,2,279,0,0,0,0,2,0,0,0,0,0,0,2017
Abdurahman Al-Obaid,sa KSA,DF,Al-Qadsiah,24,1993,13,13,"1,164",1,1,0,0,4,0,0.08,0.08,0.15,0.08,0.15,2017
Abdurahman Al-Obaid,sa KSA,DF,Al-Nassr,24,1993,7,7,626,0,1,0,0,2,0,0,0.14,0.14,0,0.14,2017
Godfrey Oboabona,ng NGA,DF,Al-Ahli,26,1990,9,9,707,0,0,0,0,3,0,0,0,0,0,0,2017
Stanley Ohawuchi,ng NGA,"FW,MF",Al-Qadsiah,27,1990,22,18,"1,628",4,3,0,0,3,0,0.22,0.17,0.39,0.22,0.39,2017
Saleh Al Ohaymid,sa KSA,GK,Al-Nassr,19,1998,1,1,90,0,0,0,0,0,0,0,0,0,0,0,2017
Madallah Al-Olayan,sa KSA,DF,Al-Taawoun,22,1994,20,17,"1,546",0,0,0,0,3,0,0,0,0,0,0,2017
Majed Omar Kanabah,sa KSA,MF,Al-Batin,24,1993,20,20,"1,673",0,2,0,0,9,0,0,0.11,0.11,0,0.11,2017
Nasser Al Omran,sa KSA,MF,Al-Shabab,20,1997,1,0,13,0,0,0,0,0,0,0,0,0,0,0,2017
Mosaab Al-Otaibi,sa KSA,MF,Al-Batin,25,1992,9,4,291,0,0,0,0,1,0,0,0,0,0,0,2017
Ahmed Otaif,sa KSA,MF,Al-Shabab,34,1983,11,4,396,0,0,0,0,1,0,0,0,0,0,0,2017
Saqer Otaif,sa KSA,MF,Al-Raed,26,1990,21,9,907,5,2,1,1,4,0,0.5,0.2,0.69,0.4,0.6,2017
Abdullah Otayf,sa KSA,MF,Al-Hilal,24,1992,23,22,"1,774",0,3,0,0,3,0,0,0.15,0.15,0,0.15,2017
Abdelkader Oueslati,tn TUN,MF,Al-Fateh,25,1991,22,21,"1,753",7,2,2,3,4,1,0.36,0.1,0.46,0.26,0.36,2017
Mohammed Al-Owais,sa KSA,GK,Al-Ahli,25,1991,24,24,"2,160",0,0,0,0,2,0,0,0,0,0,0,2017
Abdullah Al-Owaishir,sa KSA,GK,Al-Fateh,26,1991,3,3,270,0,0,0,0,0,0,0,0,0,0,0,2017
Evson Patrício,br BRA,DF,Al-Faisaly,26,1990,2,1,104,0,0,0,0,1,0,0,0,0,0,0,2017
Marcos Pizzelli,am ARM,"MF,FW",Al-Shabab,32,1984,15,14,"1,129",3,4,0,0,0,0,0.24,0.32,0.56,0.24,0.56,2017
Adrian Popa,ro ROU,MF,Al-Taawoun,29,1988,9,5,495,0,3,0,0,1,0,0,0.55,0.55,0,0.55,2017
Abdulkareem Al-Qahtani,sa KSA,MF,Al-Fayha,24,1993,10,5,440,0,0,0,0,1,0,0,0,0,0,0,2017
Abdulmohsen Al-Qahtani,sa KSA,MF,Al-Qadsiah,18,1999,3,0,46,0,0,0,0,0,0,0,0,0,0,0,2017
Khalid Al Qahtani,sa KSA,DF,Al-Shabab,20,1997,1,0,9,0,0,0,0,0,0,0,0,0,0,0,2017
Yasser Al-Qahtani,sa KSA,FW,Al-Hilal,34,1982,4,0,73,0,0,0,1,0,0,0,0,0,0,0,2017
Assaf Al-Qarni,sa KSA,GK,Al-Ittihad,33,1984,8,8,720,0,0,0,0,0,0,0,0,0,0,0,2017
Dhaifallah Al-Qarni,sa KSA,MF,Al-Fayha,28,1988,8,6,471,0,1,0,0,0,1,0,0.19,0.19,0,0.19,2017
Fawaz Al-Qarni,sa KSA,GK,Al-Ittihad,25,1992,18,18,"1,620",0,0,0,0,0,0,0,0,0,0,0,2017
Mohammed Al-Qarni,sa KSA,MF,Al-Shabab,27,1989,6,2,241,0,0,0,0,0,0,0,0,0,0,0,2017
Mohammed Qassem,sa KSA,"DF,MF",Al-Ittihad,22,1995,9,4,408,0,0,0,0,1,0,0,0,0,0,0,2017
Hassan Al-Qeed,sa KSA,MF,Al-Shabab,19,1998,1,1,65,0,0,0,0,0,0,0,0,0,0,0,2017
Saleh Al-Qumaizi,sa KSA,DF,Al-Shabab,25,1991,17,17,"1,461",0,0,0,0,1,0,0,0,0,0,0,2017
Hassan Al Raheb,sa KSA,FW,Al-Nassr,33,1983,9,1,227,2,0,0,0,0,0,0.79,0,0.79,0.79,0.79,2017
Fahad Al Rashidi,sa KSA,MF,Al-Hilal,20,1997,3,2,119,0,1,0,0,1,0,0,0.76,0.76,0,0.76,2017
Fahad Al-Rashidi,sa KSA,"MF,DF",Al-Raed,26,1991,10,8,592,0,0,0,0,1,0,0,0,0,0,0,2017
Makhir Al Rashidi,sa KSA,DF,Al-Fayha,18,1999,1,0,15,0,0,0,0,0,0,0,0,0,0,0,2017
Murad Al Rashidi,sa KSA,"DF,MF",Al-Raed,25,1991,18,13,"1,325",1,2,0,0,6,0,0.07,0.14,0.2,0.07,0.2,2017
Mohammed Reeman,sa KSA,DF,Al-Ittihad,20,1996,7,6,487,0,1,0,0,1,0,0,0.18,0.18,0,0.18,2017
Ahmed Al-Rehaili,sa KSA,GK,Al-Raed,22,1994,7,7,630,0,0,0,0,0,0,0,0,0,0,0,2017
Abdulrahman Al-Rio,sa KSA,DF,Al-Ittihad,23,1994,3,0,98,0,0,0,0,0,0,0,0,0,0,0,2017
Gelmin Rivas,ve VEN,"FW,MF",Al-Hilal,28,1989,23,18,"1,615",7,2,0,0,1,0,0.39,0.11,0.5,0.39,0.5,2017
Rogerinho,br BRA,MF,Al-Faisaly,30,1987,22,20,"1,635",6,4,0,0,3,0,0.33,0.22,0.55,0.33,0.55,2017
Igor Rossi Branco,br BRA,DF,Al-Faisaly,28,1989,24,24,"2,159",3,0,0,0,4,1,0.13,0,0.13,0.13,0.13,2017
Abdulmajeed Al-Ruwaili,sa KSA,MF,Al-Taawoun,30,1986,8,7,579,2,1,2,2,2,0,0.31,0.16,0.47,0,0.16,2017
Abdulmajeed Al-Ruwaili,sa KSA,MF,Al-Fayha,30,1986,10,9,762,0,2,0,0,0,0,0,0.24,0.24,0,0.24,2017
Eli Sabiá,br BRA,DF,Al-Raed,28,1988,21,21,"1,810",1,2,0,0,2,0,0.05,0.1,0.15,0.05,0.15,2017
Mohammed Al-Saeed,sa KSA,MF,Al-Fateh,20,1996,4,0,48,0,0,0,0,0,0,0,0,0,0,0,2017
Ziyad Al-Sahafi,sa KSA,DF,Al-Ittihad,22,1994,11,10,928,1,0,0,0,2,0,0.1,0,0.1,0.1,0.1,2017
Mohammed Al Sahlawi,sa KSA,FW,Al-Nassr,30,1987,19,16,"1,406",10,3,5,5,0,0,0.64,0.19,0.83,0.32,0.51,2017
Mohammed Al-Saiari,sa KSA,FW,Al-Ettifaq,24,1993,12,5,393,0,2,0,0,2,0,0,0.46,0.46,0,0.46,2017
Saith Sakala,zm ZAM,MF,Al-Fateh,21,1996,19,15,"1,289",3,1,0,0,1,0,0.21,0.07,0.28,0.21,0.28,2017
Abdullah Al Saleh,sa KSA,GK,Al-Ettifaq,27,1989,7,7,630,0,0,0,0,0,0,0,0,0,0,0,2017
Abdulla Al Salem,sa KSA,"MF,FW",Al-Fayha,24,1992,16,11,873,2,2,0,0,0,0,0.21,0.21,0.41,0.21,0.41,2017
Mohammed Salem,sa KSA,DF,Al-Shabab,31,1985,24,23,"2,102",2,1,0,0,7,0,0.09,0.04,0.13,0.09,0.13,2017
Yousef Al-Salem,sa KSA,FW,Al-Ettifaq,32,1985,4,0,37,0,0,0,0,0,0,0,0,0,0,0,2017
Rodrigo Salinas,ar ARG,FW,Al-Ettifaq,31,1986,7,7,467,2,0,1,1,0,0,0.39,0,0.39,0.19,0.19,2017
