Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,GA,G_PK,GA_PK,year
Salem Al-Dawsari,sa KSA,"DF,MF",Al-Hilal,22,1991,18,17,"1,458",3,2,0,0,4,1,0.19,0.12,0.31,0.19,0.31,2014
Abdullah Dawsh,sa KSA,DF,Al-Faisaly,26,1987,15,13,"1,180",0,0,0,0,3,0,0,0,0,0,0,2014
Sultan Al-Deayea,sa KSA,DF,Al-Hilal,21,1993,4,2,273,0,0,0,0,0,0,0,0,0,0,0,2014
Ahmad Deeb,sy SYR,DF,Al-Fateh,27,1987,10,10,900,1,0,0,0,2,0,0.1,0,0.1,0.1,0.1,2014
Yahya Dhabiani,sa KSA,DF,Al-Faisaly,21,1992,3,2,206,0,0,0,0,0,0,0,0,0,0,0,2014
Abdulaziz Al-Dhefiri,sa KSA,FW,Al-Taawoun,23,1990,2,0,18,0,0,0,0,0,0,0,0,0,0,0,2014
Mbaye Diagne,sn SEN,FW,Al-Shabab,22,1991,2,1,84,0,0,0,0,0,0,0,0,0,0,0,2014
Samba Diakité,ml MLI,MF,Al-Ittihad,25,1989,8,7,630,1,0,0,0,1,0,0.14,0,0.14,0.14,0.14,2014
Digão,br BRA,DF,Al-Hilal,26,1988,23,23,"2,025",1,0,0,0,4,0,0.04,0,0.04,0.04,0.04,2014
Jandson dos Santos,br BRA,FW,Najran,27,1986,20,20,"1,772",13,2,0,0,1,0,0.66,0.1,0.76,0.66,0.76,2014
Jumaan Al Dosari,sa KSA,DF,Al-Nassr,27,1987,5,2,106,0,0,0,0,1,0,0,0,0,0,0,2014
Abdullah Al-Dossari,sa KSA,MF,Al-Fateh,30,1983,17,14,"1,231",0,0,0,0,3,1,0,0,0,0,0,2014
Khaled Al-Dossari,sa KSA,DF,Hajer,28,1986,19,17,"1,448",0,0,0,0,3,0,0,0,0,0,0,2014
Saeed Al-Dossari,sa KSA,MF,Al-Shabab,24,1990,23,19,"1,757",0,1,0,0,2,0,0,0.05,0.05,0,0.05,2014
Shafi Al-Dossari,sa KSA,DF,Al-Fateh,24,1990,11,7,641,1,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28,2014
Tameem Al-Dossari,sa KSA,MF,Al-Shoulla,25,1989,16,8,846,0,1,0,0,0,0,0,0.11,0.11,0,0.11,2014
Salih Dowes,sa KSA,MF,Najran,32,1982,6,1,152,0,0,0,0,2,0,0,0,0,0,0,2014
Rashed Al Dowesan,sa KSA,DF,Al-Shoulla,23,1990,5,5,381,0,0,0,0,0,1,0,0,0,0,0,2014
Michailou Dramé,bf BFA,FW,Najran,22,1992,6,6,518,0,0,0,0,3,0,0,0,0,0,0,2014
Mohammad Al Dumeiri,jo JOR,DF,Al-Ittihad,26,1987,9,7,680,0,0,0,0,2,0,0,0,0,0,0,2014
Alexis Enam,cm CMR,"DF,MF",Al-Raed,27,1986,24,24,"2,041",1,0,0,0,5,0,0.04,0,0.04,0.04,0.04,2014
Abdullah Al-Enezi,sa KSA,GK,Al-Nassr,23,1990,24,24,"2,147",0,0,0,0,1,0,0,0,0,0,0,2014
Mashari Al-Enezi,sa KSA,FW,Al-Orobah,25,1989,20,11,"1,087",4,1,0,0,1,0,0.33,0.08,0.41,0.33,0.41,2014
Meshal Al-Enezi,sa KSA,MF,Al-Raed,27,1987,20,9,890,5,0,2,2,3,0,0.51,0,0.51,0.3,0.3,2014
Fabián Estoyanoff,uy URU,"FW,MF",Al-Nassr,31,1982,12,5,624,4,4,1,1,1,0,0.58,0.58,1.15,0.43,1.01,2014
Abdulelah Al-Fahad,sa KSA,MF,Al-Faisaly,22,1992,12,3,432,0,0,0,0,1,0,0,0,0,0,0,2014
Adnan Fallatah,sa KSA,DF,Al-Taawoun,30,1983,20,20,"1,737",1,0,0,0,8,0,0.05,0,0.05,0.05,0.05,2014
Fawaz Fallatah,sa KSA,DF,Al-Orobah,25,1989,23,22,"2,004",0,0,0,0,6,0,0,0,0,0,0,2014
Mukhtar Fallatah,sa KSA,FW,Al-Ittihad,26,1987,23,15,"1,341",7,1,1,1,2,0,0.47,0.07,0.54,0.4,0.47,2014
Lassana Fané,ml MLI,MF,Al-Shoulla,26,1987,11,10,925,3,0,2,2,1,0,0.29,0,0.29,0.1,0.1,2014
Salman Al-Faraj,sa KSA,MF,Al-Hilal,24,1989,20,20,"1,780",2,1,0,0,3,0,0.1,0.05,0.15,0.1,0.15,2014
Majed Farasani,sa KSA,DF,Al-Raed,30,1984,1,1,45,0,0,0,0,0,0,0,0,0,0,0,2014
Ahmed Al-Fraidi,sa KSA,MF,Al-Nassr,26,1988,15,8,768,5,2,0,0,0,0,0.59,0.23,0.82,0.59,0.82,2014
Moslem Al Freej,sa KSA,GK,Al-Khaleej,26,1988,26,26,"2,340",0,0,0,0,1,0,0,0,0,0,0,2014
Ayman Ftayni,sa KSA,MF,Al-Khaleej,19,1994,2,0,35,0,0,0,0,0,0,0,0,0,0,0,2014
Doris Fuakumputu,cd COD,FW,Al-Fateh,30,1984,26,24,"2,103",10,1,0,0,2,0,0.43,0.04,0.47,0.43,0.47,2014
